Sample in Buffer,Sample in Window,TRIGGER,base_i/system_ila_0/inst/net_slot_0_axis_tdata[23:0],base_i/system_ila_0/inst/net_slot_0_axis_tdest,base_i/system_ila_0/inst/net_slot_0_axis_tid,base_i/system_ila_0/inst/net_slot_0_axis_tkeep[2:0],base_i/system_ila_0/inst/net_slot_0_axis_tstrb[2:0],base_i/system_ila_0/inst/net_slot_0_axis_tuser,base_i/system_ila_0/inst/net_slot_0_axis_tvalid,base_i/system_ila_0/inst/net_slot_0_axis_tready,base_i/system_ila_0/inst/net_slot_0_axis_tlast,base_i/system_ila_0/inst/net_slot_1_axis_tdata[23:0],base_i/system_ila_0/inst/net_slot_1_axis_tdest,base_i/system_ila_0/inst/net_slot_1_axis_tid,base_i/system_ila_0/inst/net_slot_1_axis_tuser,base_i/system_ila_0/inst/net_slot_1_axis_tvalid,base_i/system_ila_0/inst/net_slot_1_axis_tready,base_i/system_ila_0/inst/net_slot_1_axis_tlast,base_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],base_i/system_ila_0/inst/net_slot_2_axis_tkeep[3:0],base_i/system_ila_0/inst/net_slot_2_axis_tstrb[3:0],base_i/system_ila_0/inst/net_slot_2_axis_tvalid,base_i/system_ila_0/inst/net_slot_2_axis_tready,base_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(v_tpg_test_0_m_axis_video)[2:0],Interface_(i1:s1)_(axis_switch_in_M00_AXIS)[2:0],Interface_(i1:s2)_(Conn)[2:0],T_Channel_(i1:s0)_(v_tpg_test_0_m_axis_video)[2:0],T_Channel_(i1:s1)_(axis_switch_in_M00_AXIS)[2:0],T_Channel_(i1:s2)_(Conn)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
665,665,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
666,666,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
667,667,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
668,668,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
669,669,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
670,670,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
671,671,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
672,672,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
673,673,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
674,674,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
675,675,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
676,676,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
677,677,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
678,678,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
679,679,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
680,680,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
681,681,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
682,682,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
683,683,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
684,684,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
685,685,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
